,NOME_CEDENTE,VALOR_PRESENTE
DANPETRO DISTRIBUIDORA DE PETROLEO S/A,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,3842592.7200000007
J L TRANSPORTES EIRELI,J L TRANSPORTES EIRELI,2363799.4999999995
DAX OIL REFINO S/A,DAX OIL REFINO S/A,1450396.71
