Quantidade,NOME_CEDENTE,VALOR_PRESENTE,Yield_hje,VALOR_PDD,Dias_Hoje,VALOR_NOMINAL,VALOR_NOMINAL_Medio,Yield_hje_PDD
284,U BOLT IND+STRIA METAL+RGICA EIRELI EPP,498982.6700000001,0.3583239886343479,42.86,19.194994126749933,510759.44999999995,1756.9812323943665,0.3598566499178737
272,ARC COM+RCIO DE AUTO PE¦AS LTDA,998756.9800000006,0.07554598631007203,39110.259999999995,64.45347378698663,1017535.3399999996,3671.900661764708,0.25735490265704897
231,VICKER ACESS+RIOS PARA MOLAS LTDA,924266.3099999997,0.3952193290261654,793.69,7.913326538971217,933983.49,4001.1528571428557,0.43391643461468643
207,RODAROS INDUSTRIA DE RODAS LTDA,6174530.510000001,0.05788097819542437,377342.49000000005,101.93923598249413,6316683.799999997,29828.64980676329,0.23634033970980384
167,IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,4540293.530000001,0.2973889839349324,58.32,34.57225378994384,4705396.23,27187.386407185637,0.29751046252969227
72,Foco Industria de Auto Peças e Comercio EIRELI,625189.9699999997,0.23346950117875997,54.06,28.048668407140326,639963.1700000002,8683.194027777774,0.23442816919816756
14,IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,22683.4,0.34809439155493327,680.51,8.307818933669555,22907.870000000003,1620.2428571428572,2.39606793784606
4,FONTAINE INTERNACIONAL DO BRASIL S/A,3292.8599999999997,47.44702144752583,98.78,8.0,3724.55,823.2149999999999,125.45401139233337
3,ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,9738.009999999998,inf,292.14,0.0,9764.68,3246.0033333333326,inf
