;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Histórico de Cota;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Data Emissão:;03/09/2020;;09:50:53;;;;;;;;;;;;;;;;;;1/1;;;
Período:;03/05/2000;;;à;03/09/2020;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Cliente:;459331 - FENIX FIDC NP-UNICA                     ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Data;;Entradas;;;;Saídas;;;Patrimonio;;;;;QtdCotas;;Cota;Dia;Mês;Ano;12 Meses;;;;
01/18/2018;;0;;;;0;;;8708113;;;;;0,00000000;;967,5681111;0.03 %;0.16 %;0.16 %;0.28 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
01/19/2018;;0;;;;0;;;8734848,22;;;;;0,00000000;;970,5386911;0.30 %;0.46 %;0.46 %;0.59 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
01/22/2018;;0;;;;0;;;8809708,97;;;;;0,00000000;;978,8565522;0.85 %;1.32 %;1.32 %;1.45 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
01/23/2018;;0;;;;0;;;8879111,75;;;;;0,00000000;;986,5679722;0.78 %;2.12 %;2.12 %;2.25 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
01/24/2018;;0;;;;0;;;8975974,94;;;;;0,00000000;;997,3305489;1.09 %;3.24 %;3.24 %;3.37 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
01/25/2018;;0;;;;0;;;8980455,07;;;;;0,00000000;;997,8283411;0.04 %;3.29 %;3.29 %;3.42 %;;;;
01/26/2018;;0;;;;0;;;9006739,02;;;;;0,00000000;;1000,74878;0.29 %;3.59 %;3.59 %;3.72 %;;;;
01/29/2018;;0;;;;0;;;9003939,4;;;;;0,00000000;;1000,437711;(0.03 %);3.56 %;3.56 %;3.69 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
01/30/2018;;0;;;;0;;;9115001,39;;;;;0,00000000;;1012,777932;1.23 %;4.84 %;4.84 %;4.97 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
01/31/2018;;0;;;;0;;;9175705;;;;;0,00000000;;1019,522778;0.66 %;5.53 %;5.53 %;5.67 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2018;;0;;;;0;;;9180325,74;;;;;0,00000000;;1020,036193;0.05 %;0.05 %;5.59 %;5.72 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/02/2018;;0;;;;0;;;9184312,38;;;;;0,00000000;;1020,479153;0.04 %;0.09 %;5.63 %;5.77 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/05/2018;;0;;;;0;;;9175299,61;;;;;0,00000000;;1019,477734;(0.09 %);0.00 %;5.53 %;5.66 %;;;;
02/06/2018;;0;;;;0;;;9176404,21;;;;;0,00000000;;1019,600468;0.01 %;0.00 %;5.54 %;5.67 %;;;;
02/07/2018;;0;;;;0;;;9180466,48;;;;;0,00000000;;1020,051831;0.04 %;0.05 %;5.59 %;5.72 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/08/2018;;0;;;;0;;;9184331,05;;;;;0,00000000;;1020,481228;0.04 %;0.09 %;5.63 %;5.77 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/09/2018;;0;;;;0;;;9188053,6;;;;;0,00000000;;1020,894844;0.04 %;0.13 %;5.68 %;5.81 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/14/2018;;0;;;;0;;;9158971,37;;;;;0,00000000;;1017,663486;(0.31 %);(0.18 %);5.34 %;5.47 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/15/2018;;0;;;;0;;;9160330;;;;;0,00000000;;1017,814444;0.01 %;(0.16 %);5.36 %;5.49 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/16/2018;;0;;;;0;;;9191925,22;;;;;0,00000000;;1021,325024;0.34 %;0.17 %;5.72 %;5.85 %;;;;
02/19/2018;;0;;;;0;;;9176535,83;;;;;0,00000000;;1019,615092;(0.16 %);0.00 %;5.54 %;5.68 %;;;;
02/20/2018;;0;;;;0;;;9174356,99;;;;;0,00000000;;1019,372999;(0.02 %);(0.01 %);5.52 %;5.65 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/21/2018;;0;;;;0;;;9178954,27;;;;;0,00000000;;1019,883808;0.05 %;0.03 %;5.57 %;5.70 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/22/2018;;0;;;;0;;;9180399,32;;;;;0,00000000;;1020,044369;0.01 %;0.05 %;5.59 %;5.72 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/23/2018;;0;;;;0;;;9182326,96;;;;;0,00000000;;1020,258551;0.02 %;0.07 %;5.61 %;5.74 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/26/2018;;0;;;;0;;;9147095;;;;;0,00000000;;1016,343889;(0.38 %);(0.31 %);5.20 %;5.34 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
02/27/2018;;0;;;;0;;;9147550,89;;;;;0,00000000;;1016,394543;0.00 %;(0.30 %);5.21 %;5.34 %;;;;
02/28/2018;;0;;;;0;;;9138176,49;;;;;0,00000000;;1015,352943;(0.10 %);(0.40 %);5.10 %;5.23 %;;;;
03/01/2018;;0;;;;0;;;9132907,78;;;;;0,00000000;;1014,767531;(0.05 %);(0.05 %);5.04 %;5.17 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2018;;0;;;;0;;;9129087,95;;;;;0,00000000;;1014,343106;(0.04 %);(0.09 %);5.00 %;5.13 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/05/2018;;0;;;;0;;;9184003,33;;;;;0,00000000;;1020,444814;0.60 %;0.50 %;5.63 %;5.76 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/06/2018;;0;;;;0;;;9187024,03;;;;;0,00000000;;1020,780448;0.03 %;0.53 %;5.66 %;5.80 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/07/2018;;0;;;;0;;;9190876,9;;;;;0,00000000;;1021,208544;0.04 %;0.57 %;5.71 %;5.84 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/08/2018;;0;;;;0;;;9214056;;;;;0,00000000;;1023,784;0.25 %;0.83 %;5.97 %;6.11 %;;;;
03/09/2018;;0;;;;0;;;9216783,19;;;;;0,00000000;;1024,087021;0.02 %;0.86 %;6.01 %;6.14 %;;;;
03/12/2018;;0;;;;0;;;9207486,26;;;;;0,00000000;;1023,054029;(0.10 %);0.75 %;5.90 %;6.03 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/13/2018;;0;;;;0;;;9215193,97;;;;;0,00000000;;1023,910441;0.08 %;0.84 %;5.99 %;6.12 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/14/2018;;0;;;;0;;;9216730,1;;;;;0,00000000;;1024,081122;0.01 %;0.85 %;6.01 %;6.14 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/15/2018;;0;;;;0;;;9224636,85;;;;;0,00000000;;1024,95965;0.08 %;0.94 %;6.10 %;6.23 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/16/2018;;0;;;;0;;;9232535,85;;;;;0,00000000;;1025,837317;0.08 %;1.03 %;6.19 %;6.32 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/19/2018;;0;;;;0;;;9238094,41;;;;;0,00000000;;1026,454934;0.06 %;1.09 %;6.25 %;6.39 %;;;;
03/20/2018;;0;;;;0;;;9444826,58;;;;;0,00000000;;1049,425176;2.23 %;3.35 %;8.63 %;8.77 %;;;;
03/21/2018;;0;;;;0;;;9467497,64;;;;;0,00000000;;1051,944182;0.24 %;3.60 %;8.89 %;9.03 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/22/2018;;0;;;;0;;;9476410,17;;;;;0,00000000;;1052,934463;0.09 %;3.70 %;8.99 %;9.13 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/23/2018;;0;;;;0;;;9485579,32;;;;;0,00000000;;1053,953258;0.09 %;3.80 %;9.10 %;9.24 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/26/2018;;0;;;;0;;;9491072,37;;;;;0,00000000;;1054,563597;0.05 %;3.86 %;9.16 %;9.30 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/27/2018;;0;;;;0;;;9501736,81;;;;;0,00000000;;1055,748534;0.11 %;3.97 %;9.28 %;9.42 %;;;;
