NOME_FUNDO,DOC_FUNDO,DATA_FUNDO,NOME_ORIGINADOR,DOC_ORIGINADOR,COD_ORIGINADOR,NOME_CEDENTE,DOC_CEDENTE,NOME_SACADO,DOC_SACADO,SEU_NUMERO,NU_DOCUMENTO,TIPO_RECEBIVEL,VALOR_NOMINAL,VALOR_PRESENTE,VALOR_AQUISICAO,VALOR_PDD,FAIXA_PDD,DATA_REFERENCIA,DATA_VENCIMENTO_ORIGINAL,DATA_VENCIMENTO_AJUSTADA,DATA_EMISSAO,DATA_AQUISICAO,PRAZO,PRAZO_ATUAL,SITUACAO_RECEBIVEL,TAXA_CESSAO,TX_RECEBIVEL,COOBRIGACAO,CHAVE_NF,NOSSO_NUMERO,Unnamed: 31,Dias_Emissao,Dias_Hoje,sumDias_Hoje,Yield_ini,Yield_hje,sumYield_ini,Yield_hje_PDD,sumYield_PDD,Emissao_Month,Emissao_Year
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-03-04,FENIX CONSULTORIA DE CREDITO EIRELI,26.154.553/0001-92,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,ARC COM DE AUTOS PECAS LTDA,51.986.958/0001-34,CONF_ARC02,CONF_ARC02,Duplicata de Servico Fisico,748365.22,734070.61,748365.22,22022.12,C,2020-02-28,2020-07-02,2020-07-02,2019-08-29,2019-08-30,210,85,A vencer,0.05884322,0.0,Nao,,,,212,83,60927860.629999995,0.0,0.0603030616652962,44266.7052615116,0.1630354323445924,119679.51927280867,8,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,B R CARRETAS COMERCIO DE PECAS LTDA,09.203.706/0001-25,0000000000210000000055351,129116003,Duplicata,890.7,889.76,836.9,0.0,AA,2020-02-28,2020-03-01,2020-03-01,2019-12-03,2019-12-04,59,1,A vencer,0.30544182,0.30487608,Sim,35191251986958000134550010001291161007944148,,,61,-1,-889.76,0.29354074443420175,-0.23362874813197654,-207.87351493790743,-0.23362874813197654,-207.87351493790743,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BALDESSAR IMPLEMENTOS RODOVIAR,69.665.560/0001-61,0000000000210000000055355,129118003,Duplicata,738.22,737.44,693.14,221.23,E,2020-02-28,2020-03-02,2020-03-02,2019-12-04,2019-12-04,59,1,A vencer,0.30544182,0.3088213,Sim,35191251986958000134550010001291181001191282,,,60,-1,-737.44,0.30296379712652066,-0.23386957394211794,-172.46477860787547,-1.0,-737.44,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,DCAN TRANSPORTES LTDA EPP,09.082.724/0001-04,0000000000210000000055346,129112003,Duplicata,1024.69,1023.61,962.79,0.0,AA,2020-02-28,2020-03-01,2020-03-01,2019-12-03,2019-12-04,59,1,A vencer,0.30544182,0.30491512,Sim,35191251986958000134550010001291121003313578,,,61,-1,-1023.61,0.29357818328271823,-0.23336337212121283,-238.87308133699466,-0.23336337212121283,-238.87308133699466,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,EAGLE TRUCK SERVICOS AUT EIRELE EPP,18.231.440/0001-15,0000000000210000000055802,129259004,Duplicata,497.5,496.95,468.54,0.0,AA,2020-02-28,2020-03-01,2020-03-01,2019-12-09,2019-12-10,55,1,A vencer,0.32037728,0.31625467,Sim,35191251986958000134550010001292591002197479,934400000978,,57,-1,-496.95,0.3036246316051763,-0.2432687243720214,-120.89239257667603,-0.2432687243720214,-120.89239257667603,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,JSL S.A.,52.548.435/0047-51,0000000000210000000056490,129577001,Duplicata,1301.89,1300.53,1250.16,39.02,C,2020-02-28,2020-03-02,2020-03-02,2020-01-03,2020-01-06,38,1,A vencer,0.30218761,0.30849911,Sim,35200151986958000134550010001295771001895644,000600000139,,40,-1,-1300.53,0.29102531903759443,-0.23155450467902317,-301.14357997021,-0.9996437667857093,-1300.0667080178184,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,JSL SA,52.548.435/0125-09,0000000000210000000056491,129575001,Duplicata,7170.22,7162.71,6885.3,214.88,C,2020-02-28,2020-03-02,2020-03-02,2020-01-03,2020-01-06,38,1,A vencer,0.30218761,0.30851752,Sim,35200151986958000134550010001295751003901450,000600000104,,40,-1,-7162.71,0.29104257542977097,-0.23208790605494445,-1662.378365578811,-0.9996437055806018,-7160.1579663992325,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,MECANICA KURTZ LTDA,90.121.062/0001-44,0000000000210000000055262,129072003,Duplicata,1026.0,1024.89,962.28,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2019-12-02,2019-12-03,60,1,A vencer,0.31231558,0.3090396,Sim,35191251986958000134550010001290721001613577,933700000329,,62,-1,-1024.89,0.29771736116548864,-0.23873911525681957,-244.68133183556182,-0.23873911525681957,-244.68133183556182,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,PRINCIPECAS DISTRIBUIDORA DE PECAS EIREL,06.934.946/0001-01,0000000000210000000055366,129133003,Duplicata,270.0,269.71,253.51,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2019-12-04,2019-12-04,59,1,A vencer,0.30544182,0.30887052,Sim,35191251986958000134550010001291331000642147,,,60,-1,-269.71,0.3030119820700008,-0.23724021650412164,-63.98605879332664,-0.23724021650412164,-63.98605879332664,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,RICARDO BARBOSA GARCIA-ME,21.580.959/0001-13,0000000000210000000057788,130561001,Duplicata,878.1,877.12,867.89,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2020-02-17,2020-02-17,8,1,A vencer,0.32501521,0.44543219,Sim,35200251986958000134550010001305611008418724,004800000147,,9,-1,-877.12,0.38745912634265167,-0.24527410707726538,-215.134824799611,-0.24527410707726538,-215.134824799611,2,2020
